book_id,title,author,genre,price,stock,published_on,_ingestion_timestamp,_source_file
26,Long Walk to Freedom,Nelson Mandela,Non-fiction,698.37,5,1998-03-25,2026-08-12T13:29:33.486051,books.csv
27,The Richest Man in Babylon,George S. Clason,Self-Help,198.14,5,1995-12-24,2026-08-12T13:29:33.486051,books.csv
28,Revolution 2020,Chetan Bhagat,Fiction,223.03,3,1960-03-11,2026-08-12T13:29:33.486051,books.csv
29,Midnight's Children,Salman Rushdie,Fiction,628.93,5,2015-03-04,2026-08-12T13:29:33.486051,books.csv
30,The 4-Hour Workweek,Tim Ferriss,Self-Help,541.68,5,2011-03-31,2026-08-12T13:29:33.486051,books.csv
31,Steve Jobs,Walter Isaacson,Non-fiction,851.76,100,2004-12-05,2026-08-12T13:29:33.486051,books.csv
32,Homo Deus,Yuval Noah Harari,Science,628.09,12,1988-07-08,2026-08-12T13:29:33.486051,books.csv
33,Ram - Scion of Ikshvaku,Amish Tripathi,Fiction,327.72,75,2005-12-24,2026-08-12T13:29:33.486051,books.csv
34,A Brief History of Time,Stephen Hawking,Science,534.29,2,1994-01-25,2026-08-12T13:29:33.486051,books.csv
35,Leonardo da Vinci,Walter Isaacson,Non-fiction,692.85,20,2002-07-22,2026-08-12T13:29:33.486051,books.csv
36,Animal Farm,George Orwell,Fiction,224.04,12,1965-02-06,2026-08-12T13:29:33.486051,books.csv
37,The Grand Design,Stephen Hawking,Science,624.89,2,1988-05-02,2026-08-12T13:29:33.486051,books.csv
38,Elon Musk,Walter Isaacson,Non-fiction,739.1,2,2018-08-29,2026-08-12T13:29:33.486051,books.csv
39,The Sixth Extinction,Elizabeth Kolbert,Science,505.39,3,2019-12-08,2026-08-12T13:29:33.486051,books.csv
40,The 7 Habits of Highly Effective People,Stephen Covey,Self-Help,458.39,20,1981-10-13,2026-08-12T13:29:33.486051,books.csv
41,Becoming,Michelle Obama,Non-fiction,724.03,12,2006-03-07,2026-08-12T13:29:33.486051,books.csv
42,So Good They Can't Ignore You,Cal Newport,Self-Help,406.81,8,1991-09-12,2026-08-12T13:29:33.486051,books.csv
43,Predictably Irrational,Dan Ariely,Science,454.73,20,1990-09-15,2026-08-12T13:29:33.486051,books.csv
44,Unlimited Power,Tony Robbins,Self-Help,463.91,3,2008-12-14,2026-08-12T13:29:33.486051,books.csv
45,How to Win Friends and Influence People,Dale Carnegie,Self-Help,281.06,8,1966-07-05,2026-08-12T13:29:33.486051,books.csv
46,The Infinite Game,Simon Sinek,Self-Help,382.9,20,2005-04-03,2026-08-12T13:29:33.486051,books.csv
47,The Tipping Point,Malcolm Gladwell,Science,492.85,2,1989-07-24,2026-08-12T13:29:33.486051,books.csv
48,Open,Andre Agassi,Non-fiction,499.88,3,1995-08-28,2026-08-12T13:29:33.486051,books.csv
49,The God of Small Things,Arundhati Roy,Fiction,444.59,50,1996-07-29,2026-08-12T13:29:33.486051,books.csv
50,The Age of Extremes,Eric Hobsbawm,History,607.14,12,2004-05-14,2026-08-12T13:29:33.486051,books.csv
51,Coolie,Mulk Raj Anand,Fiction,242.98,20,2007-06-15,2026-08-12T13:29:33.486051,books.csv
52,The Power of Habit,Charles Duhigg,Self-Help,382.7,35,1993-06-06,2026-08-12T13:29:33.486051,books.csv
53,Gandhi Before India,Ramachandra Guha,Non-fiction,733.06,2,2019-05-23,2026-08-12T13:29:33.486051,books.csv
54,The Origins of Totalitarianism,Hannah Arendt,History,622.31,2,1984-10-19,2026-08-12T13:29:33.486051,books.csv
55,Death on the Nile,Agatha Christie,Mystery,320.74,3,1985-04-11,2026-08-12T13:29:33.486051,books.csv
56,The Power of Now,Eckhart Tolle,Self-Help,359.98,20,1989-02-17,2026-08-12T13:29:33.486051,books.csv
57,India After Gandhi,Ramachandra Guha,Non-fiction,738.32,35,2002-09-02,2026-08-12T13:29:33.486051,books.csv
58,Half Girlfriend,Chetan Bhagat,Fiction,198.32,50,1964-07-22,2026-08-12T13:29:33.486051,books.csv
59,The Murder of Roger Ackroyd,Agatha Christie,Mystery,253.65,12,1984-10-27,2026-08-12T13:29:33.486051,books.csv
60,Inferno,Dan Brown,Fiction,387.59,8,1985-11-13,2026-08-12T13:29:33.486051,books.csv
61,I Am Malala,Malala Yousafzai,Non-fiction,415.41,5,2013-04-01,2026-08-12T13:29:33.486051,books.csv
62,The Glass Palace,Amitav Ghosh,Fiction,441.17,20,2005-02-27,2026-08-12T13:29:33.486051,books.csv
63,The Argumentative Indian,Amartya Sen,Non-fiction,468.24,2,2019-08-12,2026-08-12T13:29:33.486051,books.csv
64,Nirmala,Munshi Premchand,Fiction,263.27,3,1963-03-26,2026-08-12T13:29:33.486051,books.csv
65,The Guide,R.K. Narayan,Fiction,285.0,20,1973-04-14,2026-08-12T13:29:33.486051,books.csv
66,Dark Places,Gillian Flynn,Mystery,371.02,1,1996-05-10,2026-08-12T13:29:33.486051,books.csv
67,The Subtle Art of Not Giving a F*ck,Mark Manson,Self-Help,446.76,35,2018-08-10,2026-08-12T13:29:33.486051,books.csv
68,The Gene,Siddhartha Mukherjee,Science,602.52,8,2010-08-05,2026-08-12T13:29:33.486051,books.csv
69,Sapiens,Yuval Noah Harari,Science,553.99,2,2014-12-29,2026-08-12T13:29:33.486051,books.csv
70,Freakonomics,Steven Levitt & Stephen Dubner,Science,457.07,50,2023-09-07,2026-08-12T13:29:33.486051,books.csv
71,Poverty and Famines,Amartya Sen,Non-fiction,672.49,3,2021-09-17,2026-08-12T13:29:33.486051,books.csv
72,Rich Dad Poor Dad,Robert Kiyosaki,Self-Help,275.39,3,1975-11-19,2026-08-12T13:29:33.486051,books.csv
73,The 5 AM Club,Robin Sharma,Self-Help,388.93,1,2013-01-14,2026-08-12T13:29:33.486051,books.csv
74,The Catcher in the Rye,J.D. Salinger,Fiction,337.08,35,1996-12-08,2026-08-12T13:29:33.486051,books.csv
75,SuperFreakonomics,Steven Levitt & Stephen Dubner,Science,435.18,50,2016-05-14,2026-08-12T13:29:33.486051,books.csv
76,Born a Crime,Trevor Noah,Non-fiction,415.08,3,2011-06-16,2026-08-12T13:29:33.486051,books.csv
77,Losing My Virginity,Richard Branson,Non-fiction,440.33,50,2018-07-07,2026-08-12T13:29:33.486051,books.csv
78,The No. 1 Ladies Detective Agency,Alexander McCall Smith,Mystery,345.93,5,2021-03-13,2026-08-12T13:29:33.486051,books.csv
79,Everything Is F*cked,Mark Manson,Self-Help,394.25,8,2015-09-04,2026-08-12T13:29:33.486051,books.csv
80,Five Point Someone,Chetan Bhagat,Fiction,221.17,5,1977-04-29,2026-08-12T13:29:33.486051,books.csv
81,Godan,Munshi Premchand,Fiction,289.89,5,1966-03-24,2026-08-12T13:29:33.486051,books.csv
82,Deep Work,Cal Newport,Self-Help,511.89,5,2008-10-10,2026-08-12T13:29:33.486051,books.csv
83,The Girl Who Played with Fire,Stieg Larsson,Mystery,450.27,20,2017-11-04,2026-08-12T13:29:33.486051,books.csv
84,The Woman in the Window,A.J. Finn,Mystery,403.34,50,1985-03-04,2026-08-12T13:29:33.486051,books.csv
85,The Selfish Gene,Richard Dawkins,Science,499.79,5,2006-01-16,2026-08-12T13:29:33.486051,books.csv
86,The Emperor of All Maladies,Siddhartha Mukherjee,Science,739.06,5,1984-11-11,2026-08-12T13:29:33.486051,books.csv
87,When Breath Becomes Air,Paul Kalanithi,Non-fiction,462.01,8,2015-04-11,2026-08-12T13:29:33.486051,books.csv
88,The Big Sleep,Raymond Chandler,Mystery,263.4,20,2005-11-18,2026-08-12T13:29:33.486051,books.csv
89,The Innovator's Dilemma,Clayton Christensen,Science,529.93,50,1988-07-11,2026-08-12T13:29:33.486051,books.csv
90,The Krishna Key,Ashwin Sanghi,Fiction,369.64,20,1980-01-28,2026-08-12T13:29:33.486051,books.csv
91,Return of a King,William Dalrymple,History,652.88,35,2010-10-23,2026-08-12T13:29:33.486051,books.csv
92,Einstein: His Life and Universe,Walter Isaacson,Non-fiction,745.01,20,2010-01-30,2026-08-12T13:29:33.486051,books.csv
93,1984,George Orwell,Fiction,253.64,12,1989-08-15,2026-08-12T13:29:33.486051,books.csv
94,The Maltese Falcon,Dashiell Hammett,Mystery,278.94,20,1971-03-07,2026-08-12T13:29:33.486051,books.csv
95,The Namesake,Jhumpa Lahiri,Fiction,403.99,8,1993-11-15,2026-08-12T13:29:33.486051,books.csv
96,The Secret of the Nagas,Amish Tripathi,Fiction,366.47,8,2011-04-11,2026-08-12T13:29:33.486051,books.csv
97,The Anarchy,William Dalrymple,History,656.15,3,1998-11-10,2026-08-12T13:29:33.486051,books.csv
98,The Da Vinci Code,Dan Brown,Fiction,471.22,8,2013-07-23,2026-08-12T13:29:33.486051,books.csv
99,Educated,Tara Westover,Non-fiction,559.3,20,1993-07-01,2026-08-12T13:29:33.486051,books.csv
100,Napoleon,Andrew Roberts,History,776.49,35,1993-08-18,2026-08-12T13:29:33.486051,books.csv
101,Digital Minimalism,Cal Newport,Self-Help,401.58,12,2006-01-06,2026-08-12T13:29:33.486051,books.csv
102,Awaken the Giant Within,Tony Robbins,Self-Help,566.57,8,1999-10-26,2026-08-12T13:29:33.486051,books.csv
103,A Promised Land,Barack Obama,Non-fiction,785.14,5,2001-03-23,2026-08-12T13:29:33.486051,books.csv
104,Sharp Objects,Gillian Flynn,Mystery,412.4,75,2013-01-04,2026-08-12T13:29:33.486051,books.csv
105,The Kite Runner,Khaled Hosseini,Fiction,359.46,2,2003-02-14,2026-08-12T13:29:33.486051,books.csv
106,Grit,Angela Duckworth,Self-Help,471.07,20,1984-03-10,2026-08-12T13:29:33.486051,books.csv
107,Think and Grow Rich,Napoleon Hill,Self-Help,272.79,35,1987-11-06,2026-08-12T13:29:33.486051,books.csv
108,Ikigai,Hector Garcia & Francesc Miralles,Self-Help,274.3,5,1962-03-11,2026-08-12T13:29:33.486051,books.csv
109,The Discovery of India,Jawaharlal Nehru,Non-fiction,344.68,100,2007-06-03,2026-08-12T13:29:33.486051,books.csv
110,Thinking Fast and Slow,Daniel Kahneman,Science,717.09,2,1998-08-04,2026-08-12T13:29:33.486051,books.csv
111,Hullabaloo in the Guava Orchard,Kiran Desai,Fiction,367.11,20,2012-03-22,2026-08-12T13:29:33.486051,books.csv
112,Atomic Habits,James Clear,Self-Help,528.39,12,1990-12-11,2026-08-12T13:29:33.486051,books.csv
113,Blink,Malcolm Gladwell,Science,383.64,20,2020-01-16,2026-08-12T13:29:33.486051,books.csv
114,The Shadow Lines,Amitav Ghosh,Fiction,375.28,35,1984-10-12,2026-08-12T13:29:33.486051,books.csv
115,The Double Helix,James D. Watson,Science,486.5,5,2016-01-26,2026-08-12T13:29:33.486051,books.csv
116,The Sign of the Four,Arthur Conan Doyle,Mystery,271.84,12,1964-07-03,2026-08-12T13:29:33.486051,books.csv
117,A Short History of Nearly Everything,Bill Bryson,Science,558.45,50,1985-06-11,2026-08-12T13:29:33.486051,books.csv
118,One Night at the Call Center,Chetan Bhagat,Fiction,196.4,35,2007-08-26,2026-08-12T13:29:33.486051,books.csv
119,Being Mortal,Atul Gawande,Science,572.04,20,2022-08-13,2026-08-12T13:29:33.486051,books.csv
120,City of Djinns,William Dalrymple,History,537.21,12,2016-07-23,2026-08-12T13:29:33.486051,books.csv
121,Eleven Minutes,Paulo Coelho,Fiction,297.35,12,2009-02-24,2026-08-12T13:29:33.486051,books.csv
122,Eat Pray Love,Elizabeth Gilbert,Fiction,372.85,3,2018-08-23,2026-08-12T13:29:33.486051,books.csv
123,Drive,Daniel H. Pink,Self-Help,425.74,5,1991-02-02,2026-08-12T13:29:33.486051,books.csv
124,Veronika Decides to Die,Paulo Coelho,Fiction,296.43,5,2006-10-07,2026-08-12T13:29:33.486051,books.csv
125,Playing It My Way,Sachin Tendulkar,Non-fiction,596.23,5,1999-09-24,2026-08-12T13:29:33.486051,books.csv
126,Silent Spring,Rachel Carson,Science,348.42,5,1992-03-09,2026-08-12T13:29:33.486051,books.csv
127,Smarter Faster Better,Charles Duhigg,Self-Help,407.87,50,1983-08-13,2026-08-12T13:29:33.486051,books.csv
128,A Study in Scarlet,Arthur Conan Doyle,Mystery,204.16,5,1973-09-16,2026-08-12T13:29:33.486051,books.csv
129,A New Earth,Eckhart Tolle,Self-Help,391.85,2,1998-04-14,2026-08-12T13:29:33.486051,books.csv
130,The Rozabal Line,Ashwin Sanghi,Fiction,331.29,12,1982-10-17,2026-08-12T13:29:33.486051,books.csv
131,Guns Germs and Steel,Jared Diamond,History,591.92,12,2020-08-02,2026-08-12T13:29:33.486051,books.csv
132,Big Little Lies,Liane Moriarty,Mystery,431.29,75,1980-11-16,2026-08-12T13:29:33.486051,books.csv
133,The Lean Startup,Eric Ries,Science,552.4,35,1997-01-23,2026-08-12T13:29:33.486051,books.csv
134,Sense and Sensibility,Jane Austen,Fiction,227.42,75,1986-10-15,2026-08-12T13:29:33.486051,books.csv
135,Who Moved My Cheese,Spencer Johnson,Self-Help,214.13,35,1997-08-04,2026-08-12T13:29:33.486051,books.csv
136,Raag Darbari,Shrilal Shukla,Fiction,353.0,20,2015-11-18,2026-08-12T13:29:33.486051,books.csv
137,A Thousand Splendid Suns,Khaled Hosseini,Fiction,411.36,5,1989-11-04,2026-08-12T13:29:33.486051,books.csv
138,My Experiments with Truth,Mahatma Gandhi,Non-fiction,232.04,12,1994-11-20,2026-08-12T13:29:33.486051,books.csv
139,Outliers,Malcolm Gladwell,Science,426.93,20,1998-02-19,2026-08-12T13:29:33.486051,books.csv
140,The Inheritance of Loss,Kiran Desai,Fiction,425.83,35,2021-03-31,2026-08-12T13:29:33.486051,books.csv
141,An Era of Darkness,Shashi Tharoor,Non-fiction,443.26,20,1981-03-17,2026-08-12T13:29:33.486051,books.csv
142,Scion of Ikshvaku,Amish Tripathi,Fiction,369.16,20,2009-09-27,2026-08-12T13:29:33.486051,books.csv
143,Tools of Titans,Tim Ferriss,Self-Help,599.83,20,1986-02-01,2026-08-12T13:29:33.486051,books.csv
144,The Glass Castle,Jeannette Walls,Non-fiction,476.21,3,1991-09-02,2026-08-12T13:29:33.486051,books.csv
145,"English, August",Upamanyu Chatterjee,Fiction,288.16,5,1989-04-28,2026-08-12T13:29:33.486051,books.csv
146,21 Lessons for the 21st Century,Yuval Noah Harari,Science,522.24,50,1992-06-24,2026-08-12T13:29:33.486051,books.csv
147,What Do You Care What Other People Think,Richard Feynman,Science,482.95,35,1991-04-26,2026-08-12T13:29:33.486051,books.csv
148,Ignited Minds,A.P.J. Abdul Kalam,Non-fiction,218.99,12,2008-05-23,2026-08-12T13:29:33.486051,books.csv
149,Family Matters,Rohinton Mistry,Fiction,362.7,75,1990-01-21,2026-08-12T13:29:33.486051,books.csv
150,Inglorious Empire,Shashi Tharoor,Non-fiction,469.22,35,2009-03-27,2026-08-12T13:29:33.486051,books.csv
151,SPQR: A History of Ancient Rome,Mary Beard,History,516.38,1,1991-02-03,2026-08-12T13:29:33.486051,books.csv
152,Freedom at Midnight,Larry Collins & Dominique Lapierre,History,453.99,1,1986-11-01,2026-08-12T13:29:33.486051,books.csv
153,The Checklist Manifesto,Atul Gawande,Science,413.78,12,1985-02-17,2026-08-12T13:29:33.486051,books.csv
154,The Great Partition,Yasmin Khan,History,559.54,5,2011-05-18,2026-08-12T13:29:33.486051,books.csv
155,The Girl on the Train,Paula Hawkins,Fiction,369.82,8,2007-03-06,2026-08-12T13:29:33.486051,books.csv
156,The Dublin Murder Squad,Tana French,Mystery,442.8,35,1985-02-19,2026-08-12T13:29:33.486051,books.csv
157,Surely You're Joking Mr. Feynman,Richard Feynman,Science,540.59,3,1993-12-14,2026-08-12T13:29:33.486051,books.csv
158,White Mughals,William Dalrymple,History,528.58,1,1993-12-29,2026-08-12T13:29:33.486051,books.csv
159,Gone Girl,Gillian Flynn,Fiction,438.76,50,1996-11-01,2026-08-12T13:29:33.486051,books.csv
160,A Fine Balance,Rohinton Mistry,Fiction,435.08,20,1983-05-30,2026-08-12T13:29:33.486051,books.csv
161,Antifragile,Nassim Nicholas Taleb,Science,718.31,35,1990-11-22,2026-08-12T13:29:33.486051,books.csv
162,Murder on the Orient Express,Agatha Christie,Mystery,263.29,35,2013-11-12,2026-08-12T13:29:33.486051,books.csv
163,Man's Search for Meaning,Viktor Frankl,Non-fiction,326.41,35,2010-10-09,2026-08-12T13:29:33.486051,books.csv
164,The Great Gatsby,F. Scott Fitzgerald,Fiction,302.66,8,1998-06-07,2026-08-12T13:29:33.486051,books.csv
165,The Test of My Life,Yuvraj Singh,Non-fiction,418.33,2,2009-01-17,2026-08-12T13:29:33.486051,books.csv
166,Empire of the Moghul,Alex Rutherford,History,522.85,35,2016-11-20,2026-08-12T13:29:33.486051,books.csv
167,Nine Perfect Strangers,Liane Moriarty,Mystery,417.77,12,1996-03-31,2026-08-12T13:29:33.486051,books.csv
168,To Kill a Mockingbird,Harper Lee,Fiction,363.2,35,2011-09-23,2026-08-12T13:29:33.486051,books.csv
169,The Monk Who Sold His Ferrari,Robin Sharma,Self-Help,267.87,3,2006-10-22,2026-08-12T13:29:33.486051,books.csv
170,Caesar,Adrian Goldsworthy,History,625.66,5,2016-04-02,2026-08-12T13:29:33.486051,books.csv
171,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,280.35,35,2001-09-14,2026-08-12T13:29:33.486051,books.csv
172,Mindset,Carol S. Dweck,Self-Help,440.32,20,1992-01-15,2026-08-12T13:29:33.486051,books.csv
173,Jane Eyre,Charlotte Bronte,Fiction,254.66,5,1967-10-10,2026-08-12T13:29:33.486051,books.csv
174,Of Mice and Men,John Steinbeck,Fiction,232.49,12,2001-09-09,2026-08-12T13:29:33.486051,books.csv
175,Such a Long Journey,Rohinton Mistry,Fiction,407.36,20,1995-02-02,2026-08-12T13:29:33.486051,books.csv
176,The Palace of Illusions,Chitra Banerjee Divakaruni,Fiction,342.59,35,1988-02-27,2026-08-12T13:29:33.486051,books.csv
177,A Suitable Boy,Vikram Seth,Fiction,696.39,8,1991-08-03,2026-08-12T13:29:33.486051,books.csv
178,Straight Drive,Sourav Ganguly,Non-fiction,427.49,50,2011-06-15,2026-08-12T13:29:33.486051,books.csv
179,And Then There Were None,Agatha Christie,Mystery,310.81,12,2006-05-07,2026-08-12T13:29:33.486051,books.csv
180,The Space Between Us,Thrity Umrigar,Fiction,429.94,2,2012-04-19,2026-08-12T13:29:33.486051,books.csv
181,Leaders Eat Last,Simon Sinek,Self-Help,416.96,12,1990-10-12,2026-08-12T13:29:33.486051,books.csv
182,The Silk Roads,Peter Frankopan,History,738.97,20,2002-01-06,2026-08-12T13:29:33.486051,books.csv
183,Chanakya's Chant,Ashwin Sanghi,Fiction,373.11,0,1993-03-13,2026-08-12T13:29:33.486051,books.csv
184,The 3 Mistakes of My Life,Chetan Bhagat,Fiction,182.38,20,1987-06-21,2026-08-12T13:29:33.486051,books.csv
185,Pride and Prejudice,Jane Austen,Fiction,261.25,8,2009-08-27,2026-08-12T13:29:33.486051,books.csv
186,Cosmos,Carl Sagan,Science,604.56,12,2013-06-17,2026-08-12T13:29:33.486051,books.csv
187,The Black Swan,Nassim Nicholas Taleb,Science,658.81,8,2000-05-09,2026-08-12T13:29:33.486051,books.csv
188,Interpreter of Maladies,Jhumpa Lahiri,Fiction,325.01,5,1985-05-30,2026-08-12T13:29:33.486051,books.csv
189,Immortals of Meluha,Amish Tripathi,Fiction,372.17,8,2013-04-28,2026-08-12T13:29:33.486051,books.csv
190,The Girl Who Kicked the Hornet's Nest,Stieg Larsson,Mystery,453.83,35,1988-04-21,2026-08-12T13:29:33.486051,books.csv
